R3t,R3p,Et1,Ep,Et2,E
-3.6,-0.5,-7.573694294434972,-7.883730670204386,-8.560224100772757,-48.03529813082423
-3.6,-0.4,-7.573694294434972,-7.858969125547446,-8.320024568005465,-47.50537597597577
-3.6,-0.3,-7.573694294434972,-7.8362538911169395,-8.094191876531113,-47.00828012416605
-3.6,-0.2,-7.573694294434972,-7.817929971613921,-7.890732426720206,-46.5647133855382
-3.6,-0.1,-7.573694294434972,-7.806068777455948,-7.715913788357284,-46.19135372049641
-3.6,0.0,-7.573694294434972,-7.80199372745119,-7.573694294434972,-45.89876463264227
-3.6,0.1,-7.573694294434972,-7.806068777455948,-7.466186771169305,-45.69189968612045
-3.6,0.2,-7.573694294434972,-7.817929971613921,-7.393845535989385,-45.57093960407656
-3.6,0.3,-7.573694294434972,-7.836254518595524,-7.354771743121091,-45.529441112303175
-3.6,0.4,-7.573694294434972,-7.858969125547446,-7.345278771826997,-45.55588438361883
-3.5,-4.0,-7.715913788357284,-6.200287002837285,-9.990651971078478,-47.813705524546094
-3.5,-3.9,-7.715913788357284,-6.281363804941066,-10.186927686387207,-48.368410559371114
-3.5,-3.8,-7.715913788357284,-6.357074141385965,-10.356606390385423,-48.859188640257344
-3.5,-3.7,-7.715913788357284,-6.427389146876521,-10.487597220344469,-49.26180031115655
-3.5,-3.6,-7.715913788357284,-6.492380357580259,-10.570415362773929,-49.557419017422944
-3.5,-3.5,-7.715913788357284,-6.552401689114049,-10.598829015507363,-49.73428898595739
-3.5,-3.4,-7.715913788357284,-6.607975229737349,-10.570415362773929,-49.78860876173712
-3.5,-3.3,-7.715913788357284,-6.659707154030912,-10.487597220344469,-49.72643632546533
-3.5,-3.2,-7.715913788357284,-6.7084458557656035,-10.356606390385423,-49.56193206901662
-3.5,-3.1,-7.715913788357284,-6.755330892978236,-10.186927686387207,-49.316344735445455
-3.5,-3.0,-7.715913788357284,-6.801658701268025,-9.990651971078478,-49.01644892140757
-3.5,-2.9,-7.715913788357284,-6.848989270394668,-9.781141442246735,-48.692089001997374
-3.5,-2.8,-7.715913788357284,-6.899010602734052,-9.571457093290519,-48.37276296876371
-3.5,-2.7,-7.715913788357284,-6.9532575871562585,-9.374034289561678,-48.08641133015044
-3.5,-2.6,-7.715913788357284,-7.012943828245625,-9.199228828947525,-47.85617289110087
-3.5,-2.5,-7.715913788357284,-7.078736996627413,-9.055682778940536,-47.700667127850465
-3.5,-2.4,-7.715913788357284,-7.1506032071774825,-8.950355225300882,-47.6337444416713
-3.5,-2.3,-7.715913788357284,-7.227822077577002,-8.886867528781295,-47.66120678943116
-3.5,-2.2,-7.715913788357284,-7.30904697207734,-8.866761480632704,-47.783444482134655
-3.5,-2.1,-7.715913788357284,-7.3923614748055115,-8.888738135923631,-47.994026798172854
-3.5,-2.0,-7.715913788357284,-7.475655897054821,-8.949147896026261,-48.28143516287673
-3.5,-1.9,-7.715913788357284,-7.556791685055941,-9.042935540725011,-48.63128202827647
-3.5,-1.8,-7.715913788357284,-7.6337231560610235,-9.161971050139982,-49.02321598911658
-3.5,-1.7,-7.715913788357284,-7.704674456850626,-9.296540569746867,-49.43425762990955
-3.5,-1.6,-7.715913788357284,-7.76822239428293,-9.434977433353197,-49.83822723198682
-3.5,-1.5,-7.715913788357284,-7.8232550212414935,-9.565122379688546,-50.20858237857465
-3.5,-1.4,-7.715913788357284,-7.869113452150486,-9.675114842597395,-50.52028416621033
-3.5,-1.3,-7.715913788357284,-7.905485186725855,-9.753757533442695,-50.75031301705167
-3.5,-1.2,-7.715913788357284,-7.932208327576518,-9.791780246887356,-50.879804725642316
-3.5,-1.1,-7.715913788357284,-7.9492590294685215,-9.782580950122792,-50.895507535897195
