R3t,R3p,Et1,Ep,Et2,E
-2.1,-1.3,-6.978361752058845,-5.772221016115509,-6.9202612287481315,-39.34168799384497
-2.1,-1.2,-6.978361752058845,-5.798172319773585,-6.78122634824831,-39.11552084016148
-2.1,-1.1,-6.978361752058845,-5.815854296437465,-6.6648031628574245,-38.91803842270747
-2.1,-1.0,-6.978361752058845,-5.825465239584446,-6.575676034961361,-38.759006053209305
-2.1,-0.9,-6.978361752058845,-5.827342749456875,-6.517147549835499,-38.64570410270244
-2.1,-0.8,-6.978361752058845,-5.822200932656415,-6.490104378841352,-38.58133412711322
-2.1,-0.7,-6.978361752058845,-5.811186877079308,-6.493848103447817,-38.56679346517194
-2.1,-0.6,-6.978361752058845,-5.79578903678339,-6.525987283093855,-38.60027614387218
-2.1,-0.5,-6.978361752058845,-5.7777895397739485,-6.5819881580537185,-38.676278899773024
-2.1,-0.4,-6.978361752058845,-5.759193908423185,-6.656027435499709,-38.78716619196348
-2.1,-0.3,-6.978361752058845,-5.741985074360855,-6.741039980261121,-38.92277361336164
-2.1,-0.2,-6.978361752058845,-5.72803929192014,-6.828951621195301,-39.070705330348574
-2.1,-0.1,-6.978361752058845,-5.7189818125916645,-6.911036831792444,-39.21676079288591
-2.1,0.0,-6.978361752058845,-5.715861832839437,-6.978361752058845,-39.345170673914254
-2.1,0.1,-6.978361752058845,-5.7189818125916645,-7.022945710050408,-39.440578549401835
-2.1,0.2,-6.978361752058845,-5.72803929192014,-7.038030423107557,-39.488862934173085
-2.1,0.3,-6.978361752058845,-5.741985074360855,-7.018780298822094,-39.47825425048359
-2.1,0.4,-6.978361752058845,-5.759193908423185,-6.963055528292898,-39.40122237754986
-2.1,0.5,-6.978361752058845,-5.7777895397739485,-6.8713411767967045,-39.254984937258996
-2.1,0.6,-6.978361752058845,-5.79578903678339,-6.746668117353693,-39.041637812391855
-2.1,0.7,-6.978361752058845,-5.811186877079308,-6.594268528686371,-38.76763431564905
-2.1,0.8,-6.978361752058845,-5.822200932656415,-6.420875593146775,-38.44287655572407
-2.1,0.9,-6.978361752058845,-5.827342749456875,-6.2339196563116275,-38.079248315654695
-2.1,1.0,-6.978361752058845,-5.825465239584446,-6.041270321176853,-37.69019462564029
-2.1,1.1,-6.978361752058845,-5.815854296437465,-5.85038177925162,-37.28919565549586
-2.1,1.2,-6.978361752058845,-5.798172319773585,-5.667780761723407,-36.88862966711167
-2.1,1.3,-6.978361752058845,-5.772221016115509,-5.4990188498049974,-36.4992032359587
-2.1,1.4,-6.978361752058845,-5.738014191039838,-5.348253924865276,-36.12925973592792
-2.1,1.5,-6.978361752058845,-5.695688641513698,-5.218253933067899,-35.784608653280884
-2.1,1.6,-6.978361752058845,-5.645495371660218,-5.110801630769856,-35.46931750897784
-2.1,1.7,-6.978361752058845,-5.587948939646594,-5.0263067817431875,-35.18523494689725
